C.D.S.  -  SIMBAD4 rel 1.5.11  -  2017.04.14CEST16:44:09

sptype >= 'L0' & sptype <= 'Y9'
-------------------------------

Number of objects : 1946

 #  |           identifier           |typ| coord1 (ICRS,J2000/2000)  |Mag U |Mag B |Mag V |Mag R |Mag I |  spec. type   |#bib|#not
----|--------------------------------|---|---------------------------|------|------|------|------|------|---------------|----|----
93  |* 54 Psc B                      |BD*|00 39 18.91 +21 15 16.8    |     ~|     ~|     ~|     ~|     ~|T7.5           |  51|   1
94  |2MASS J16335933-0640552         |BD*|16 33 59.332 -06 40 55.24  |     ~|     ~|     ~|     ~|     ~|L5.5           |   9|   0
95  |BRLT 21                         |BD*|01 11 51.896 -01 05 33.61  |     ~|     ~|     ~|     ~|     ~|L3.5           |   2|   0
96  |2MASS J08373282+1617380         |BD*|08 37 32.825 +16 17 38.04  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
97  |2MASSW J1338261+414034          |BD*|13 38 26.16 +41 40 34.3    |     ~|     ~|     ~|     ~|     ~|L2.5V          |  10|   0
98  |ULAS J115759.04+092200.7        |BD*|11 57 59.04 +09 22 00.7    |     ~|     ~|     ~|     ~|     ~|T2.5           |   5|   0
99  |2MASS J20431769-1551031         |BD*|20 43 17.69 -15 51 03.2    |     ~|     ~|     ~|     ~|     ~|L9.5           |   8|   0
100 |SDSS J120020.66+340615.4        |BD*|12 00 20.663 +34 06 15.48  |     ~|     ~|     ~|     ~|     ~|L1             |   1|   0
101 |2MASS J16471580+5632057         |BD*|16 47 15.805 +56 32 05.73  |     ~|     ~|     ~|     ~|     ~|L9pec          |  12|   0
102 |WISEP J075003.78+272544.8       |BD*|07 50 03.78 +27 25 44.8    |     ~|     ~|     ~|     ~|     ~|T9             |   1|   0
103 |SIPS J0058-0651                 |BD*|00 58 42.533 -06 51 23.94  |     ~|     ~|     ~|     ~|17.671|L0V            |  25|   0
104 |ULAS J230424.80+130111.3        |BD*|23 04 24.809 +13 01 11.37  |     ~|     ~|     ~|     ~|     ~|L5.0           |   3|   0
105 |2MASS J05431887+6422528         |BD*|05 43 18.874 +64 22 52.82  |     ~|     ~|     ~|     ~|     ~|L2             |   4|   0
106 |WISE J035934.06-540154.6        |BD*|03 59 34.067 -54 01 54.64  |     ~|     ~|     ~|     ~|     ~|Y0             |  10|   0
107 |2MASS J22521073-1730134         |BD*|22 52 10.734 -17 30 13.46  |     ~|     ~|     ~|     ~|17.9  |T0             |  33|   1
108 |2MASS J21543318+5942187         |BD*|21 54 33.187 +59 42 18.77  |     ~|     ~|     ~|     ~|     ~|T6             |   9|   0
109 |WISEP J231557.68+132255.6       |BD*|23 15 57.610 +13 22 56.20  |     ~|     ~|     ~|     ~|     ~|T6.5           |   3|   0
110 |BRLT 269                        |BD*|15 01 40.694 -00 51 46.83  |     ~|     ~|     ~|     ~|     ~|L7.0           |   1|   0
111 |EQ J2157+2659                   |BD*|21 57 51.38 +26 59 31.4    |     ~|     ~|     ~|     ~|     ~|T7             |   3|   0
112 |ULAS J132605.18+120009.9        |*  |13 26 05.18 +12 00 09.9    |     ~|     ~|     ~|     ~|     ~|T6p            |   4|   0
113 |2MASS J10492244+0125593         |BD*|10 49 22.449 +01 25 59.40  |     ~|     ~|     ~|     ~|     ~|L6             |   2|   0
114 |2MASS J08375977+1957279         |BD*|08 37 59.771 +19 57 27.90  |     ~|     ~|     ~|     ~|     ~|L0             |   2|   0
115 |2MASS J15023845+1825398         |BD*|15 02 38.459 +18 25 39.80  |     ~|     ~|     ~|     ~|     ~|L0             |   1|   0
116 |2MASS J03231002-4631237         |BD*|03 23 10.020 -46 31 23.71  |     ~|     ~|     ~|     ~|     ~|L0             |  10|   0
117 |ULAS J081507.26+271119.2        |Ro*|08 15 07.26 +27 11 19.2    |     ~|     ~|     ~|     ~|     ~|T7             |   1|   0
118 |EQ J1517+0529                   |Ro*|15 17 21.12 +05 29 29.0    |     ~|     ~|     ~|     ~|     ~|T8             |   4|   0
119 |WISE J061135.13-041024.0        |BD*|06 11 35.13 -04 10 24.0    |     ~|     ~|     ~|     ~|     ~|L9+T1.5        |   4|   0
120 |2MUCD 20329                     |BD*|09 05 46.544 +56 23 11.79  |     ~|     ~|     ~|     ~|     ~|L5             |  10|   0
121 |2MASSW J0051107-154417          |BD*|00 51 10.787 -15 44 16.91  |     ~|     ~|     ~|21.344|18.898|L6             |  16|   0
122 |2MASS J02304498-0953050         |BD*|02 30 44.989 -09 53 05.06  |     ~|     ~|     ~|     ~|     ~|L6             |   4|   0
123 |2MASS J00332386-1521309         |BD*|00 33 23.861 -15 21 30.94  |     ~|     ~|     ~|     ~|     ~|L4             |  17|   0
124 |2MASS J00025097+2454141         |BD*|00 02 50.976 +24 54 14.17  |     ~|     ~|     ~|     ~|     ~|L5.5           |   3|   0
125 |2MASS J16273661-2451360         |BD?|16 27 36.612 -24 51 36.09  |     ~|     ~|     ~|     ~|     ~|L0             |   5|   0
126 |2MASS J02074284+0000564         |BD*|02 07 42.85 +00 00 56.4    |     ~|     ~|     ~|     ~|     ~|T4.5           |  32|   1
127 |ULAS J092605.47+083517.0        |*  |09 26 05.470 +08 35 17.00  |     ~|     ~|     ~|     ~|     ~|T4.5           |   3|   0
128 |BRLT 71                         |BD*|08 32 58.669 +01 12 41.99  |     ~|     ~|     ~|     ~|     ~|L1.5           |   1|   0
129 |2MASS J19415458+6826021         |BD*|19 41 54.584 +68 26 02.12  |     ~|     ~|     ~|     ~|     ~|L2             |   2|   0
130 |SDSS J143553.24+112948.5        |BD*|14 35 53.25 +11 29 48.6    |     ~|     ~|     ~|     ~|     ~|T2             |   6|   1
131 |2MASSW J0708213+295035          |BD*|07 08 21.332 +29 50 35.06  |     ~|     ~|     ~|     ~|     ~|L5V            |   7|   0
132 |2MASS J05233822-1403022         |BD*|05 23 38.221 -14 03 02.29  |     ~|     ~|     ~|     ~|     ~|L2.5           |  39|   0
133 |2MASS J18212815+1414010         |BD*|18 21 28.153 +14 14 01.04  |     ~|     ~|     ~|     ~|     ~|L5             |  20|   0
134 |DENIS J105855.9-154814          |BD*|10 58 55.906 -15 48 14.63  |     ~|     ~|     ~|     ~|16.41 |L3             |   1|   0
135 |WISEP J213456.73-713743.6       |BD*|21 34 56.73 -71 37 43.6    |     ~|     ~|     ~|     ~|     ~|T9pec          |   7|   0
