tile,ra,dec,row
0077p393,7.74197200000000,39.3755560000000,955
0078m152,7.82607500000000,-15.1444440000000,956
0078m167,7.86029600000000,-16.6588890000000,957
0078p151,7.82607500000000,15.1444440000000,958
0078p166,7.86029600000000,16.6588890000000,959
0079m182,7.92953600000000,-18.1733330000000,960
0079m409,7.91212500000000,-40.8900000000000,961
0079m561,7.99989700000000,-56.0344440000000,962
0079m682,7.91187500000000,-68.1500000000000,963
0079p181,7.92953600000000,18.1733330000000,964
0079p408,7.91212500000000,40.8900000000000,965
0079p560,7.99989700000000,56.0344440000000,15226
0079p681,7.91187500000000,68.1500000000000,966
0080m197,8.00001600000000,-19.6877780000000,967
0080m213,8.07177700000000,-21.2022220000000,968
0080m425,8.08994100000000,-42.4044440000000,969
0080p196,8.00001600000000,19.6877780000000,970
0080p212,8.07177700000000,21.2022220000000,971
0080p424,8.08994100000000,42.4044440000000,17625
0081m228,8.14483800000000,-22.7166670000000,972
0081p227,8.14483800000000,22.7166670000000,973
0082m243,8.25688000000000,-24.2311110000000,974
0082p242,8.25688000000000,24.2311110000000,975
0083m258,8.33337800000000,-25.7455560000000,976
0083m440,8.32364000000000,-43.9188890000000,977
0083m576,8.30765500000000,-57.5488890000000,978
0083m697,8.37235200000000,-69.6644440000000,16138
0083m803,8.37142600000000,-80.2655560000000,979
0083p257,8.33337800000000,25.7455560000000,980
0083p439,8.32364000000000,43.9188890000000,16139
0083p575,8.30765500000000,57.5488890000000,14722
0083p696,8.37235200000000,69.6644440000000,981
0083p802,8.37142600000000,80.2655560000000,16140
0084m273,8.45073600000000,-27.2600000000000,982
0084p272,8.45073600000000,27.2600000000000,983
0085m288,8.57144600000000,-28.7744440000000,984
0085m455,8.52070700000000,-45.4333330000000,985
0085p287,8.57144600000000,28.7744440000000,986
0085p454,8.52070700000000,45.4333330000000,16141
0086m303,8.69567400000000,-30.2888890000000,987
0086m591,8.64001200000000,-59.0633330000000,988
0086p302,8.69567400000000,30.2888890000000,989
0086p590,8.64001200000000,59.0633330000000,14331
0087m470,8.72734700000000,-46.9477780000000,990
0087p469,8.72734700000000,46.9477780000000,17031
0088m319,8.82357300000000,-31.8033330000000,991
0088p318,8.82357300000000,31.8033330000000,992
0089m334,8.99996300000000,-33.3177780000000,993
0089m485,8.99999900000000,-48.4622220000000,994
0089p333,8.99996300000000,33.3177780000000,995
0089p484,8.99999900000000,48.4622220000000,16142
0090m016,9.07566400000000,-1.51444400000000,996
0090m031,9.07567000000000,-3.02888900000000,997
